dish_id,dish_name,city_id,category,price_min_inr,price_max_inr,trust_score,scam_markup_pct,timestamp
1,Extra Cheesy Pongal,113,Local Eatery,68,164,42.5,53.7,2026-04-03 01:19:07
2,Masala Dosa,57,Street Food,49,67,87.1,0,2025-02-25 00:52:36
3,Aloo Paratha,132,Local Eatery,129,172,79.3,9.5,2026-03-24 13:21:49
4,Aloo Paratha,122,Local Eatery,72,106,77.3,7.9,2025-11-16 07:30:06
5,Royal Chole Bhature,120,Sweet Shop,116,181,61.0,19.9,2025-12-15 10:45:45
6,Family Recipe Kachori,36,Local Eatery,171,299,49.3,56.0,2026-03-04 10:48:26
7,Vada Pav,26,Street Food,50,81,68.2,19.8,2025-11-08 11:55:58
8,Local Favourite Litti Chokha,16,Fine Dining,771,2386,81.5,3.3,2026-06-26 01:24:24
9,Chef's Paneer Tikka,125,Street Food,27,132,64.1,13.8,2026-01-06 07:58:55
10,Family Recipe Nihari,129,Roadside Stall,20,53,48.6,24.8,2025-07-02 16:31:06
11,Quick-bite Thukpa,104,Roadside Stall,17,106,49.9,48.7,2026-03-16 00:35:36
12,Roadside Aloo Posto,134,Sweet Shop,110,242,61.8,17.6,2026-05-17 09:00:24
13,Zan,77,Street Food,21,89,76.0,11.5,2025-03-19 15:47:08
14,Chef's Pitha,19,Local Eatery,179,233,85.7,0,2025-10-15 00:29:03
15,Dhokla,73,Sweet Shop,107,387,39.6,71.8,2025-08-21 12:49:27
16,Authentic Kolhapuri Mutton,27,Street Food,39,83,62.6,19.1,2025-09-24 07:45:06
17,Village-style Bisi Bele Bath,53,Street Food,31,122,68.9,15.0,2025-01-03 18:05:47
18,Chhena Poda,86,Mid-range Restaurant,232,621,69.6,22.3,2026-03-12 16:03:42
19,Filter Coffee,3,Sweet Shop,68,357,44.9,41.8,2026-03-06 03:48:51
20,Authentic Kachori,38,Mid-range Restaurant,170,546,58.9,23.5,2025-03-21 20:12:43
21,Malai Kofta,91,Sweet Shop,69,200,84.9,0.2,2025-05-18 12:29:43
22,Masala Dosa,106,Mid-range Restaurant,360,497,61.9,35.7,2025-03-25 23:02:54
23,Signature Chole Bhature,98,Fine Dining,858,1493,83.0,3.3,2025-06-23 03:35:46
24,Chef's Fish Tenga,7,Mid-range Restaurant,185,690,81.1,4.0,2026-01-31 16:00:36
25,Festival Fish Tenga,103,Street Food,34,77,57.0,49.1,2025-07-26 04:39:06
26,Premium Thukpa,10,Sweet Shop,110,343,75.5,11.5,2025-10-27 04:33:47
27,Bisi Bele Bath,49,Street Food,45,101,69.2,27.5,2025-09-14 11:22:29
28,Fish Tenga,81,Mid-range Restaurant,409,577,77.5,7.4,2026-06-26 12:54:24
29,Authentic Bhel Puri,76,Sweet Shop,127,226,75.8,8.8,2026-03-02 14:17:23
30,Deluxe Rava Kesari,1,Roadside Stall,53,104,64.5,23.2,2026-06-09 18:36:16
31,Pongal,55,Sweet Shop,73,126,62.7,31.1,2026-04-26 23:51:29
