hotel_pricing_id,city_id,hotel_type,price_per_night_inr,trust_score,scam_markup_pct,timestamp
1,1,Budget,1871,46.8,51.5,2026-01-01 01:34:56
2,1,Mid-range,4416,75.7,10.0,2026-01-20 11:04:51
3,1,Luxury,19516,49.4,50.3,2025-02-15 04:01:09
4,2,Budget,1635,71.5,16.0,2025-07-14 00:26:58
5,2,Mid-range,2983,79.6,6.9,2025-06-17 19:47:04
6,2,Luxury,18220,81.9,5.0,2025-12-25 20:31:58
7,3,Budget,1845,93.0,0,2026-02-10 15:39:37
8,3,Mid-range,5531,67.7,12.6,2026-02-23 14:40:27
9,3,Luxury,11500,66.8,11.8,2025-03-22 21:14:40
10,4,Budget,1397,87.8,0,2026-02-22 16:02:56
11,4,Mid-range,2465,81.2,5.3,2025-01-25 06:00:17
12,4,Luxury,12544,78.9,4.9,2026-04-29 19:08:56
13,5,Budget,1428,62.1,36.9,2026-05-03 01:38:54
14,5,Mid-range,4585,81.6,5.9,2025-12-22 03:20:38
15,5,Luxury,11369,84.3,0.5,2025-04-22 20:56:39
16,6,Budget,1567,73.4,20.3,2025-09-25 03:42:39
17,6,Mid-range,2435,87.6,0,2026-04-20 13:20:51
18,6,Luxury,18173,65.5,32.7,2025-07-25 09:36:36
19,7,Budget,1221,67.3,30.9,2025-04-30 10:50:40
20,7,Mid-range,3348,89.2,0,2025-03-28 00:50:44
21,7,Luxury,23063,86.5,0,2025-08-12 02:14:41
22,8,Budget,1823,86.1,0,2026-02-27 16:16:57
23,8,Mid-range,5066,73.8,10.8,2025-07-12 13:24:57
24,8,Luxury,24679,59.6,19.6,2025-04-20 16:35:43
25,9,Budget,529,70.6,21.7,2025-03-13 05:17:40
26,9,Mid-range,3841,93.3,0,2026-05-04 11:08:17
27,9,Luxury,7449,50.2,61.3,2025-05-18 23:34:51
28,10,Budget,1876,50.2,34.5,2026-06-28 02:13:08
29,10,Mid-range,2652,85.0,0,2025-10-21 19:06:27
30,10,Luxury,12374,61.9,25.2,2025-06-26 03:39:36
31,11,Budget,1735,60.4,14.9,2025-05-24 22:13:31
32,11,Mid-range,4837,92.6,0,2025-02-20 22:41:55
