parking_pricing_id,city_id,vehicle_type,price_per_hour_inr,trust_score,scam_markup_pct,timestamp
1,1,Two-wheeler,27,55.0,46.7,2026-02-22 12:38:50
2,1,Four-wheeler,56,64.7,31.7,2025-09-05 11:02:20
3,2,Two-wheeler,18,67.7,25.5,2025-12-12 08:01:22
4,2,Four-wheeler,38,80.3,8.2,2025-11-14 19:06:36
5,3,Two-wheeler,27,68.1,18.0,2025-02-28 18:35:12
6,3,Four-wheeler,89,69.2,15.9,2025-03-22 04:15:05
7,4,Two-wheeler,10,57.6,27.1,2025-03-17 13:28:27
8,4,Four-wheeler,80,82.3,2.5,2025-02-17 04:46:42
9,5,Two-wheeler,30,62.6,26.6,2025-05-24 06:47:47
10,5,Four-wheeler,97,66.4,16.6,2026-02-04 14:45:19
11,6,Two-wheeler,26,70.6,15.7,2025-10-09 19:03:29
12,6,Four-wheeler,45,76.2,6.6,2025-04-29 12:08:47
13,7,Two-wheeler,29,79.0,7.4,2025-06-11 06:51:33
14,7,Four-wheeler,46,73.0,12.6,2025-06-15 05:21:10
15,8,Two-wheeler,11,52.3,40.7,2026-04-26 04:58:04
16,8,Four-wheeler,83,63.3,29.9,2025-07-31 23:59:40
17,9,Two-wheeler,20,59.8,26.4,2026-06-28 12:47:52
18,9,Four-wheeler,40,75.4,12.8,2025-08-09 05:28:13
19,10,Two-wheeler,10,94.9,0,2025-05-14 10:31:36
20,10,Four-wheeler,89,58.8,31.5,2025-11-29 03:51:39
21,11,Two-wheeler,10,42.9,45.0,2025-04-19 21:44:48
22,11,Four-wheeler,95,69.6,15.3,2025-10-29 17:47:10
23,12,Two-wheeler,24,47.7,55.6,2025-11-12 08:23:35
24,12,Four-wheeler,78,73.4,10.5,2026-03-19 00:11:19
25,13,Two-wheeler,11,63.0,20.6,2025-11-21 11:11:37
26,13,Four-wheeler,89,62.5,34.7,2025-05-19 12:21:38
27,14,Two-wheeler,27,76.1,13.2,2025-10-04 20:50:28
28,14,Four-wheeler,44,81.6,5.5,2026-02-05 14:09:06
29,15,Two-wheeler,10,71.0,11.1,2025-04-01 14:31:56
