souvenir_id,item_name,state_id,price_min_inr,price_max_inr,trust_score,scam_markup_pct,timestamp
1,Royal Thangka Painting,22,508,1619,74.7,12.5,2025-12-27 04:26:31
2,Authentic Handwoven Bag,5,777,3096,65.8,21.8,2025-05-22 08:43:23
3,Homestyle Brassware,26,579,1186,64.7,24.4,2025-05-02 14:23:18
4,Postcard Set,2,590,929,80.3,7.7,2025-01-06 06:48:22
5,Postcard Set,27,156,1588,74.2,9.8,2025-06-27 17:04:15
6,Keychain Set,2,629,2365,83.2,2.2,2025-06-19 22:52:43
7,Premium Spice Box Set,12,229,2829,56.6,29.0,2025-10-04 13:45:43
8,Chef's Azulejo Tile,6,181,1716,68.8,10.4,2025-12-26 00:49:58
9,Quick-bite Cashew Feni Bottle,6,317,2816,65.2,34.8,2025-07-24 05:22:30
10,Quick-bite Fridge Magnet,4,190,1297,88.0,0,2025-04-26 15:04:51
11,Postcard Set,5,408,2944,83.6,1.7,2026-01-02 01:51:13
12,Postcard Set,4,77,1712,84.4,0.6,2026-06-20 02:14:59
13,Premium Bagh Print Fabric,13,612,2080,77.1,5.2,2025-04-27 19:42:52
14,Street-side Local Handicraft Figurine,24,246,2314,76.9,8.7,2025-10-25 04:51:44
15,Signature Keychain Set,27,562,1730,75.4,7.4,2025-11-11 19:22:32
16,Quick-bite Local Handicraft Figurine,10,706,2127,85.6,0,2026-04-11 13:05:52
17,Spicy Postcard Set,1,774,3172,68.8,13.3,2025-11-25 19:11:49
18,Seashell Craft,6,303,1590,49.1,33.9,2025-07-04 11:25:58
19,Roadside Local Handicraft Figurine,10,346,2338,62.7,14.0,2025-03-31 08:35:15
20,Family Recipe Local Handicraft Figurine,24,520,1641,61.9,37.2,2025-01-27 02:42:29
21,Applique Work,19,757,2150,73.4,7.8,2025-05-24 08:27:03
22,Special Fridge Magnet,5,218,2519,87.4,0,2026-04-02 07:20:21
23,Local Favourite Handwoven Bag,2,184,306,91.6,0,2025-05-28 22:47:39
24,Bandhani Fabric,7,440,2210,68.6,12.5,2026-06-26 22:15:32
25,Family Recipe Keychain Set,5,435,2916,80.8,7.2,2025-06-23 05:38:50
26,Festival Kantha Stitch Saree,28,336,3040,75.6,15.4,2026-01-25 16:27:07
27,Postcard Set,15,286,2744,73.5,11.3,2025-09-04 13:43:38
28,Extra Cheesy Pahari Cap,9,766,2935,86.1,0,2026-02-26 18:00:20
29,Royal Mysore Silk Saree,11,672,3473,88.6,0,2026-06-17 10:50:00
30,Local Favourite Cashew Feni Bottle,6,495,944,80.8,3.1,2026-03-22 13:30:23
31,Family Recipe Mirror Work Bag,7,370,2071,77.1,10.1,2026-04-04 02:03:05
32,Keychain Set,2,53,994,56.2,27.1,2025-01-21 10:11:57
33,Extra Cheesy Bandhani Dupatta,21,106,1560,70.8,22.4,2026-05-02 15:56:25
34,Traditional Fridge Magnet,17,392,523,79.9,4.1,2026-04-24 19:18:41
35,Postcard Set,24,730,3713,67.8,16.8,2025-01-31 09:48:14
36,Patola Saree,7,749,3082,64.2,14.5,2025-10-22 09:44:04
37,Postcard Set,15,208,3139,48.1,53.6,2026-06-07 11:51:47
38,Puppet (Kathputli),21,656,1786,74.6,8.7,2025-10-22 14:12:19
39,Festival Tanjore Painting,23,368,939,81.9,4.2,2025-03-28 11:33:59
40,Meenakari Jewelry,21,326,1248,72.5,14.8,2025-01-03 23:27:43
41,Spicy Silver Filigree,19,637,2273,68.4,25.8,2026-03-13 13:51:15
42,Local Favourite Postcard Set,27,314,2045,87.5,0,2026-04-20 14:52:08
43,Postcard Set,18,498,973,82.7,3.0,2025-08-30 17:29:55
44,Royal Keychain Set,1,158,1554,92.7,0,2025-07-10 14:36:24
45,Authentic Kullu Shawl,9,603,887,58.7,22.9,2025-10-16 15:20:09
46,Spicy Fridge Magnet,24,214,519,82.3,4.2,2026-02-03 07:08:51
47,Meenakari Jewelry,21,172,502,89.4,0,2026-01-18 11:14:52
48,Village-style Kolhapuri Chappal,14,113,2558,82.6,3.5,2025-09-10 19:39:38
49,Authentic Khasi Shawl,16,181,1866,57.4,39.0,2025-04-18 17:57:56
