transport_pricing_id,city_id,mode,unit,price_inr,trust_score,scam_markup_pct,timestamp
1,1,Taxi,per_km,15.1,67.9,22.7,2025-06-21 11:33:43
2,1,Auto Rickshaw,per_km,9.1,76.1,14.0,2026-06-15 06:13:12
3,1,Local Bus,per_trip,6.2,69.0,24.2,2026-02-13 16:28:50
4,1,Ferry,per_trip,67.1,58.9,44.8,2025-04-16 13:24:15
5,2,Taxi,per_km,12.2,66.6,18.2,2026-03-04 13:18:13
6,2,Auto Rickshaw,per_km,12.2,91.8,0,2025-12-02 04:46:11
7,2,Local Bus,per_trip,6.1,81.0,2.9,2026-01-25 09:39:56
8,2,Ferry,per_trip,32.2,79.2,8.8,2025-11-20 17:49:05
9,3,Taxi,per_km,16.1,70.2,23.7,2025-08-29 23:12:29
10,3,Auto Rickshaw,per_km,16.9,77.0,13.7,2025-01-15 22:47:35
11,3,Local Bus,per_trip,29.3,89.4,0,2025-07-20 10:47:27
12,3,Ferry,per_trip,218.4,78.1,10.7,2026-02-01 01:14:56
13,4,Taxi,per_km,14.1,68.3,19.2,2026-02-08 16:04:04
14,4,Auto Rickshaw,per_km,16.2,88.5,0,2026-04-10 16:43:59
15,4,Local Bus,per_trip,12.5,55.8,32.5,2026-01-07 05:13:32
16,5,Taxi,per_km,17.0,80.6,6.2,2026-02-14 00:06:35
17,5,Auto Rickshaw,per_km,14.5,38.1,48.7,2025-09-20 23:18:04
18,5,Local Bus,per_trip,14.1,77.1,8.8,2025-11-27 15:31:55
19,5,Ferry,per_trip,103.2,53.5,40.9,2025-01-15 21:12:19
20,6,Taxi,per_km,20.7,80.9,5.5,2025-08-02 05:26:10
21,6,Auto Rickshaw,per_km,16.9,81.5,3.4,2026-04-21 07:25:20
22,6,Local Bus,per_trip,10.8,57.4,24.3,2026-05-04 15:20:59
23,6,Ferry,per_trip,206.6,85.0,0,2025-09-04 07:10:23
24,7,Taxi,per_km,21.6,65.5,17.8,2026-06-25 06:36:44
25,7,Auto Rickshaw,per_km,16.6,76.4,9.9,2026-04-30 21:16:02
26,7,Local Bus,per_trip,13.7,84.9,0.1,2025-05-26 14:04:15
27,8,Taxi,per_km,16.4,50.8,42.5,2026-05-08 21:03:23
28,8,Auto Rickshaw,per_km,17.3,57.3,21.2,2026-03-05 15:28:43
29,8,Local Bus,per_trip,11.9,85.5,0,2026-04-14 03:27:59
30,9,Taxi,per_km,15.5,47.0,42.7,2025-12-30 10:34:31
31,9,Auto Rickshaw,per_km,10.1,94.7,0,2026-06-25 00:37:15
32,9,Local Bus,per_trip,12.6,75.5,9.5,2025-02-16 01:18:35
33,10,Taxi,per_km,15.8,58.6,26.1,2025-12-03 02:43:33
34,10,Auto Rickshaw,per_km,17.1,70.8,15.9,2025-10-22 07:40:08
35,10,Local Bus,per_trip,7.1,85.3,0,2025-02-22 21:55:49
36,11,Taxi,per_km,17.8,73.8,14.5,2025-10-24 04:40:39
37,11,Auto Rickshaw,per_km,11.9,50.2,32.0,2025-01-13 15:00:27
38,11,Local Bus,per_trip,35.3,75.7,7.7,2025-08-30 15:44:22
39,12,Taxi,per_km,24.8,76.5,12.5,2025-04-13 02:06:56
40,12,Auto Rickshaw,per_km,8.7,60.8,17.2,2026-02-03 04:55:53
41,12,Local Bus,per_trip,16.0,72.2,9.0,2025-04-17 01:22:47
42,13,Taxi,per_km,21.9,57.1,29.0,2026-05-25 21:36:52
43,13,Auto Rickshaw,per_km,8.3,59.8,15.6,2025-09-11 12:02:34
44,13,Local Bus,per_trip,28.5,73.4,9.7,2025-09-13 03:46:14
45,14,Taxi,per_km,16.4,87.2,0,2025-06-15 09:29:12
46,14,Auto Rickshaw,per_km,17.2,78.3,7.5,2025-07-22 16:12:22
47,14,Local Bus,per_trip,37.5,92.3,0,2025-10-30 14:18:10
48,15,Taxi,per_km,15.4,81.6,4.2,2025-08-31 14:59:17
49,15,Auto Rickshaw,per_km,14.8,90.3,0,2025-09-22 08:20:39
50,15,Local Bus,per_trip,20.3,73.6,18.5,2025-02-27 12:36:39
51,16,Taxi,per_km,12.9,35.7,54.9,2025-05-16 15:47:52
52,16,Auto Rickshaw,per_km,9.4,59.2,39.7,2025-06-24 14:31:57
53,16,Local Bus,per_trip,13.9,59.8,17.9,2025-08-09 00:35:33
54,17,Taxi,per_km,16.2,77.2,10.5,2026-04-24 11:27:32
55,17,Auto Rickshaw,per_km,10.5,75.9,9.9,2025-03-09 21:00:43
56,17,Local Bus,per_trip,13.2,82.3,2.3,2026-03-23 20:38:32
57,18,Taxi,per_km,12.7,61.9,33.6,2025-02-08 07:49:05
58,18,Auto Rickshaw,per_km,13.8,82.4,2.7,2025-05-07 03:41:57
59,18,Local Bus,per_trip,37.6,68.6,26.5,2026-06-21 08:48:24
60,19,Taxi,per_km,16.0,83.3,1.5,2025-07-25 01:28:28
61,19,Auto Rickshaw,per_km,9.1,65.1,34.5,2025-10-11 22:52:17
62,19,Local Bus,per_trip,8.7,79.0,6.7,2025-04-26 01:01:24
63,20,Taxi,per_km,20.5,58.2,29.7,2025-04-15 16:49:42
64,20,Auto Rickshaw,per_km,12.8,88.6,0,2026-01-01 14:52:11
65,20,Local Bus,per_trip,21.2,63.8,32.2,2025-07-16 22:51:29
66,21,Taxi,per_km,12.0,79.4,8.2,2026-03-24 09:23:46
67,21,Auto Rickshaw,per_km,11.0,65.4,20.5,2025-11-29 02:45:02
68,21,Local Bus,per_trip,28.6,65.1,28.1,2026-06-12 16:12:37
69,22,Taxi,per_km,20.6,83.8,1.2,2026-04-22 13:00:58
70,22,Auto Rickshaw,per_km,9.4,76.2,8.4,2026-02-03 23:03:38
71,22,Local Bus,per_trip,33.8,68.5,28.4,2026-02-18 18:32:51
72,23,Taxi,per_km,14.8,73.9,16.4,2025-05-03 10:13:32
73,23,Auto Rickshaw,per_km,12.7,65.6,26.6,2025-12-25 13:16:52
